amazing,average,awful,bad,best,decent,disappointing,excellent,fantastic,fine,great,mediocre,okay,poor,satisfactory,terrible,wonderful,worst,sentiment
0.4995012888680969,0.28934977120803795,0.0,0.0,0.0,0.579309520142357,0.0,0.0,0.4982750695627751,0.0,0.0,0.0,0.0,0.0,0.2879194457580274,0.0,0.0,0.0,
0.0,0.2293054541028831,0.0,0.0,0.39451311919605314,0.0,0.0,0.7966172845974407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3964584585823228,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.6693216327248317,0.0,0.0,0.0,0.0,0.0,0.3327057416237751,0.6643157693876754,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4460289623691919,0.7766151859605311,0.0,0.0,0.4448898938651581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.2415079959962948,0.0,0.4136134759374292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403501903537067,0.0,0.0,0.0,0.8442923465185198,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789670084752135,0.0,0.0,0.5761081730133243,0.0,0.5769719023353836,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5547577626316977,0.0,0.0,0.8320119138569309,0.0,0.0,0.0,1.0
0.0,0.2897270608030365,0.0,0.0,0.0,0.2900324473479315,0.0,0.0,0.0,0.28929176265300266,0.0,0.8650142691221469,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6684561666414167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6652515426356256,0.0,0.0,0.3325759135896387,0.0,0.0,0.0,
0.0,0.4603837903179479,0.0,0.0,0.0,0.2304345287166768,0.0,0.0,0.0,0.22984604515159887,0.0,0.45817667933602246,0.0,0.0,0.6871620039178445,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6648911818120508,0.0,0.33134965798684946,0.3308040340806479,0.0,0.0,0.581975782603144,0.0,0.0,
0.0,0.8170246063533199,0.0,0.0,0.0,0.4089428951982282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4064929286962983,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8418308694183748,0.16327288011422003,0.0,0.0,0.280868181405463,0.0,0.2826935465446641,0.0,0.0,0.0,0.1622947164350111,0.0,0.28199397572781193,0.0,
0.0,0.0,0.0,0.4286289688331927,0.0,0.25053931184048095,0.43623318365224195,0.0,0.0,0.24989948469198386,0.0,0.24907567147487172,0.4973310515292809,0.0,0.0,0.43747143037565783,0.0,0.0,1.0
0.0,0.42789336341768347,0.0,0.0,0.7361776288559643,0.2141721920140846,0.0,0.3716301151630295,0.0,0.21362523919499574,0.0,0.21292100686824847,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.8954975973127418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44506634697211866,0.0,0.0,0.0,1.0
0.0,0.24266937125054827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24230477455708632,0.8412098082536255,0.24150599789656,0.2411083169490557,0.0,0.24146979823485665,0.0,0.0,0.0,0.0
0.0,0.5795457240451711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758175965902306,0.0,0.5766808902660195,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288350112794416,0.3260008415488072,0.567075608843835,0.0,0.18840206656674052,0.0,0.0,0.0,0.0,0.6546150791374228,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338216378567825,0.0,0.6317321952026623,0.3153459700265602,0.0,0.3158187520033902,0.0,0.0,0.0,
0.0,0.20905319633969402,0.0,0.0,0.0,0.6278206460134045,0.0,0.0,0.0,0.0,0.0,0.6241529435952978,0.4154167793202311,0.0,0.0,0.0,0.0,0.0,
0.0,0.40993206065064935,0.0,0.0,0.0,0.41036414916629166,0.0,0.0,0.0,0.0,0.0,0.0,0.8145900629947174,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.5020088683278547,0.0,0.0,0.0,0.5007268383726238,0.0,0.0,0.49825433886694487,0.0,0.4990013459438827,0.0,0.0,0.0,1.0
0.4997813829319788,0.0,0.0,0.0,0.0,0.28981718323339883,0.0,0.0,0.0,0.5781540965596804,0.0,0.0,0.0,0.0,0.5761617916944137,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.501803266341422,0.0,0.0,0.0,0.5005217614524241,0.0,0.4988717522775553,0.0,0.0,0.49879697571373044,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5796342626606742,0.0,0.0,0.0,0.0,0.0,0.5762480631142315,0.0,0.0,0.57616168851019,0.0,0.0,0.0,1.0
